countrycode,country,year,gdppc,prodag,prodind,prodserv,incomeClass
AFG,Afghanistan,2002,372.9326411258901,NA,NA,NA,L
AFG,Afghanistan,2003,386.0906173515162,NA,NA,NA,L
AFG,Afghanistan,2004,373.6879246210395,NA,NA,NA,L
AFG,Afghanistan,2005,400.12293649463214,NA,NA,NA,L
AFG,Afghanistan,2006,409.2036876016096,NA,NA,NA,L
AFG,Afghanistan,2007,452.9482239197487,NA,NA,NA,L
AFG,Afghanistan,2008,457.78587299638434,NA,NA,NA,L
AFG,Afghanistan,2009,540.1982851084434,NA,NA,NA,L
AFG,Afghanistan,2010,569.9407287932855,NA,NA,NA,L
AFG,Afghanistan,2011,587.0050478456234,NA,NA,NA,L
AFG,Afghanistan,2012,651.0018519525775,NA,NA,NA,L
AFG,Afghanistan,2013,643.081145950878,NA,NA,NA,L
AFG,Afghanistan,2014,632.0548057338331,NA,NA,NA,L
ALB,Albania,1991,1331.4859424431233,NA,NA,NA,Missing
ALB,Albania,1992,1243.1349439420956,NA,NA,NA,LM
ALB,Albania,1993,1370.8146748856277,NA,NA,NA,LM
ALB,Albania,1994,1493.733946255067,NA,NA,NA,LM
ALB,Albania,1995,1702.8869350985956,NA,NA,NA,L
ALB,Albania,1996,1869.4323501485999,NA,NA,NA,L
ALB,Albania,1997,1677.2834683466601,NA,NA,NA,L
ALB,Albania,1998,1839.9304176064097,NA,NA,NA,LM
ALB,Albania,1999,2101.611152651875,NA,NA,NA,L
ALB,Albania,2000,2256.050962001612,1849.2177734375,14311.484375,13341.759765625,LM
ALB,Albania,2001,2458.1499860131626,2130.4921875,18939.70703125,16549.35546875,LM
ALB,Albania,2002,2569.858294809652,2422.9326171875,8463.2939453125,11855.9404296875,LM
ALB,Albania,2003,2728.4181013355014,2469.278564453125,10885.703125,11168.2275390625,LM
ALB,Albania,2004,2896.277871665842,2615.84716796875,11934.0673828125,11598.697265625,LM
