countrycode,country,year,incomeClass
AFG,Afghanistan,2002,L
AFG,Afghanistan,2003,L
AFG,Afghanistan,2004,L
AFG,Afghanistan,2005,L
AFG,Afghanistan,2006,L
AFG,Afghanistan,2007,L
AFG,Afghanistan,2008,L
AFG,Afghanistan,2009,L
AFG,Afghanistan,2010,L
AFG,Afghanistan,2011,L
AFG,Afghanistan,2012,L
AFG,Afghanistan,2013,L
AFG,Afghanistan,2014,L
ALB,Albania,1991,Missing
ALB,Albania,1992,LM
ALB,Albania,1993,LM
ALB,Albania,1994,LM
ALB,Albania,1995,L
ALB,Albania,1996,L
ALB,Albania,1997,L
ALB,Albania,1998,LM
ALB,Albania,1999,L
ALB,Albania,2000,LM
ALB,Albania,2001,LM
ALB,Albania,2002,LM
ALB,Albania,2003,LM
ALB,Albania,2004,LM
ALB,Albania,2005,LM
ALB,Albania,2006,LM
ALB,Albania,2007,LM
ALB,Albania,2008,LM
ALB,Albania,2009,LM
ALB,Albania,2010,LM
ALB,Albania,2011,UM
ALB,Albania,2012,UM
ALB,Albania,2013,LM
ALB,Albania,2014,UM
DZA,Algeria,1991,LM
DZA,Algeria,1992,LM
DZA,Algeria,1993,LM
DZA,Algeria,1994,LM
DZA,Algeria,1995,LM
DZA,Algeria,1996,LM
DZA,Algeria,1997,LM
DZA,Algeria,1998,LM
DZA,Algeria,1999,LM
DZA,Algeria,2000,LM
DZA,Algeria,2001,LM
DZA,Algeria,2002,LM
DZA,Algeria,2003,LM
DZA,Algeria,2004,LM
DZA,Algeria,2005,LM
DZA,Algeria,2006,LM
DZA,Algeria,2007,LM
DZA,Algeria,2008,LM
DZA,Algeria,2009,LM
DZA,Algeria,2010,UM
DZA,Algeria,2011,UM
DZA,Algeria,2012,UM
DZA,Algeria,2013,UM
DZA,Algeria,2014,UM
ADO,Andorra,1991,Missing
ADO,Andorra,1992,H
ADO,Andorra,1993,H
ADO,Andorra,1994,H
ADO,Andorra,1995,H
ADO,Andorra,1996,H
ADO,Andorra,1997,H
ADO,Andorra,1998,H
ADO,Andorra,1999,H
ADO,Andorra,2000,H
ADO,Andorra,2001,H
ADO,Andorra,2002,H
ADO,Andorra,2003,H
ADO,Andorra,2004,H
ADO,Andorra,2005,H
ADO,Andorra,2006,H
ADO,Andorra,2007,H
ADO,Andorra,2008,H
ADO,Andorra,2009,H
ADO,Andorra,2010,H
ADO,Andorra,2011,H
ADO,Andorra,2012,H
ADO,Andorra,2013,H
AGO,Angola,1991,LM
AGO,Angola,1992,LM
AGO,Angola,1993,LM
AGO,Angola,1994,LM
AGO,Angola,1995,LM
AGO,Angola,1996,LM
AGO,Angola,1997,L
AGO,Angola,1998,L
AGO,Angola,1999,L
AGO,Angola,2000,L
AGO,Angola,2001,L
AGO,Angola,2002,L
AGO,Angola,2003,L
AGO,Angola,2004,L
AGO,Angola,2005,L
AGO,Angola,2006,LM
AGO,Angola,2007,LM
AGO,Angola,2008,LM
AGO,Angola,2009,LM
AGO,Angola,2010,LM
AGO,Angola,2011,LM
AGO,Angola,2012,LM
AGO,Angola,2013,UM
AGO,Angola,2014,UM
ATG,Antigua and Barbuda,1991,UM
ATG,Antigua and Barbuda,1992,UM
ATG,Antigua and Barbuda,1993,UM
ATG,Antigua and Barbuda,1994,UM
ATG,Antigua and Barbuda,1995,UM
ATG,Antigua and Barbuda,1996,UM
ATG,Antigua and Barbuda,1997,UM
ATG,Antigua and Barbuda,1998,UM
ATG,Antigua and Barbuda,1999,UM
ATG,Antigua and Barbuda,2000,UM
ATG,Antigua and Barbuda,2001,UM
ATG,Antigua and Barbuda,2002,UM
ATG,Antigua and Barbuda,2003,UM
ATG,Antigua and Barbuda,2004,H
ATG,Antigua and Barbuda,2005,UM
ATG,Antigua and Barbuda,2006,UM
ATG,Antigua and Barbuda,2007,H
ATG,Antigua and Barbuda,2008,H
ATG,Antigua and Barbuda,2009,H
ATG,Antigua and Barbuda,2010,H
ATG,Antigua and Barbuda,2011,UM
ATG,Antigua and Barbuda,2012,UM
ATG,Antigua and Barbuda,2013,UM
ATG,Antigua and Barbuda,2014,H
ARG,Argentina,1991,LM
ARG,Argentina,1992,LM
ARG,Argentina,1993,UM
ARG,Argentina,1994,UM
ARG,Argentina,1995,UM
ARG,Argentina,1996,UM
ARG,Argentina,1997,UM
ARG,Argentina,1998,UM
ARG,Argentina,1999,UM
ARG,Argentina,2000,UM
ARG,Argentina,2001,UM
ARG,Argentina,2002,UM
ARG,Argentina,2003,UM
ARG,Argentina,2004,UM
ARG,Argentina,2005,UM
ARG,Argentina,2006,UM
ARG,Argentina,2007,UM
ARG,Argentina,2008,UM
ARG,Argentina,2009,UM
ARG,Argentina,2010,UM
ARG,Argentina,2011,UM
ARG,Argentina,2012,UM
ARG,Argentina,2013,UM
ARG,Argentina,2014,UM
ARM,Armenia,1991,Missing
ARM,Armenia,1992,Missing
ARM,Armenia,1993,LM
ARM,Armenia,1994,LM
ARM,Armenia,1995,L
ARM,Armenia,1996,L
ARM,Armenia,1997,L
ARM,Armenia,1998,L
ARM,Armenia,1999,L
ARM,Armenia,2000,L
ARM,Armenia,2001,L
ARM,Armenia,2002,L
ARM,Armenia,2003,L
ARM,Armenia,2004,LM
ARM,Armenia,2005,LM
ARM,Armenia,2006,LM
ARM,Armenia,2007,LM
ARM,Armenia,2008,LM
ARM,Armenia,2009,LM
ARM,Armenia,2010,LM
ARM,Armenia,2011,LM
ARM,Armenia,2012,LM
ARM,Armenia,2013,LM
ARM,Armenia,2014,LM
ABW,Aruba,2010,H
AUS,Australia,1991,H
AUS,Australia,1992,H
AUS,Australia,1993,H
AUS,Australia,1994,H
AUS,Australia,1995,H
AUS,Australia,1996,H
AUS,Australia,1997,H
AUS,Australia,1998,H
AUS,Australia,1999,H
AUS,Australia,2000,H
AUS,Australia,2001,H
AUS,Australia,2002,H
AUS,Australia,2003,H
AUS,Australia,2004,H
AUS,Australia,2005,H
AUS,Australia,2006,H
AUS,Australia,2007,H
AUS,Australia,2008,H
AUS,Australia,2009,H
AUS,Australia,2010,H
AUS,Australia,2011,H
AUS,Australia,2012,H
AUS,Australia,2013,H
AUS,Australia,2014,H
AUT,Austria,1991,H
AUT,Austria,1992,H
AUT,Austria,1993,H
AUT,Austria,1994,H
AUT,Austria,1995,H
AUT,Austria,1996,H
AUT,Austria,1997,H
AUT,Austria,1998,H
AUT,Austria,1999,H
AUT,Austria,2000,H
AUT,Austria,2001,H
AUT,Austria,2002,H
AUT,Austria,2003,H
AUT,Austria,2004,H
AUT,Austria,2005,H
AUT,Austria,2006,H
AUT,Austria,2007,H
AUT,Austria,2008,H
AUT,Austria,2009,H
AUT,Austria,2010,H
AUT,Austria,2011,H
AUT,Austria,2012,H
AUT,Austria,2013,H
AUT,Austria,2014,H
AZE,Azerbaijan,1991,Missing
AZE,Azerbaijan,1992,Missing
AZE,Azerbaijan,1993,LM
AZE,Azerbaijan,1994,LM
AZE,Azerbaijan,1995,LM
AZE,Azerbaijan,1996,L
AZE,Azerbaijan,1997,L
AZE,Azerbaijan,1998,L
AZE,Azerbaijan,1999,L
AZE,Azerbaijan,2000,L
AZE,Azerbaijan,2001,L
AZE,Azerbaijan,2002,L
AZE,Azerbaijan,2003,L
AZE,Azerbaijan,2004,L
AZE,Azerbaijan,2005,LM
AZE,Azerbaijan,2006,LM
AZE,Azerbaijan,2007,LM
AZE,Azerbaijan,2008,LM
AZE,Azerbaijan,2009,LM
AZE,Azerbaijan,2010,LM
AZE,Azerbaijan,2011,UM
AZE,Azerbaijan,2012,UM
AZE,Azerbaijan,2013,UM
AZE,Azerbaijan,2014,UM
BHS,"Bahamas, The",1991,H
BHS,"Bahamas, The",1992,H
BHS,"Bahamas, The",1993,H
BHS,"Bahamas, The",1994,H
BHS,"Bahamas, The",1995,H
BHS,"Bahamas, The",1996,H
BHS,"Bahamas, The",1997,H
BHS,"Bahamas, The",1998,H
BHS,"Bahamas, The",1999,H
BHS,"Bahamas, The",2000,H
BHS,"Bahamas, The",2001,H
BHS,"Bahamas, The",2002,H
BHS,"Bahamas, The",2003,H
BHS,"Bahamas, The",2004,H
BHS,"Bahamas, The",2005,H
BHS,"Bahamas, The",2006,H
BHS,"Bahamas, The",2007,H
BHS,"Bahamas, The",2008,H
BHS,"Bahamas, The",2009,H
BHS,"Bahamas, The",2010,H
BHS,"Bahamas, The",2011,H
BHS,"Bahamas, The",2012,H
BHS,"Bahamas, The",2013,H
BHS,"Bahamas, The",2014,H
BHR,Bahrain,1991,H
BHR,Bahrain,1992,UM
BHR,Bahrain,1993,UM
BHR,Bahrain,1994,UM
BHR,Bahrain,1995,UM
BHR,Bahrain,1996,UM
BHR,Bahrain,1997,UM
BHR,Bahrain,1998,UM
BHR,Bahrain,1999,UM
BHR,Bahrain,2000,UM
BHR,Bahrain,2001,UM
BHR,Bahrain,2002,UM
BHR,Bahrain,2003,H
BHR,Bahrain,2004,H
BHR,Bahrain,2005,H
BHR,Bahrain,2006,H
BHR,Bahrain,2007,H
BHR,Bahrain,2008,H
BHR,Bahrain,2009,H
BHR,Bahrain,2010,H
BHR,Bahrain,2011,H
BHR,Bahrain,2012,H
BHR,Bahrain,2013,H
BHR,Bahrain,2014,H
BGD,Bangladesh,1991,L
BGD,Bangladesh,1992,L
BGD,Bangladesh,1993,L
BGD,Bangladesh,1994,L
BGD,Bangladesh,1995,L
BGD,Bangladesh,1996,L
BGD,Bangladesh,1997,L
BGD,Bangladesh,1998,L
BGD,Bangladesh,1999,L
BGD,Bangladesh,2000,L
BGD,Bangladesh,2001,L
BGD,Bangladesh,2002,L
BGD,Bangladesh,2003,L
BGD,Bangladesh,2004,L
BGD,Bangladesh,2005,L
BGD,Bangladesh,2006,L
BGD,Bangladesh,2007,L
BGD,Bangladesh,2008,L
BGD,Bangladesh,2009,L
